----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |              Lower level              |              Upper level              |Type|           TP  |    Line  |
          |      Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------------|---------------------------------------|    |          Ref. |    Ref.  |
          |       Air (nm)  |  (?)  |           |      |                                       | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |               |          |
Ar I      |     667.7282    |   100 | 2.36e+05  | C    |    11.6235920     -     13.47988600   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 0   |    |        T1242n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar II     |     668.42924   |   204 | 1.07e+07  | B+   |    17.69466373    -     19.54901058   | 3s2.3p4.(3P).3d       | 4F      | 7/2 | 3s2.3p4.(3P).4p       | 4D*     | 5/2 |    |          T926 |  L11520  |
Ar I      |     675.2834    |   150 | 1.93e+06  | C    |    12.90701451    -     14.74253995   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     675.6163    |     5 | 3.6e+05   | D+   |    13.30222666    -     15.13684755   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<3/2>).5d | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar II     |     675.65522   |    32 | 2.0e+06   | B    |    17.77579154    -     19.61030669   | 3s2.3p4.(3P).3d       | 4F      | 3/2 | 3s2.3p4.(3P).4p       | 4D*     | 3/2 |    |          T926 |  L11520  |
Ar I      |     676.6612    |    15 | 4.0e+05   | D+   |    13.17177690    -     15.00356496   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* | 1   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar II     |     680.85312   |    15 | 7.e+05    | C    |    17.94175001    -     19.76225987   | 3s2.3p4.(3P).3d       | 2P      | 1/2 | 3s2.3p4.(3P).4p       | 2D*     | 3/2 |    |          T926 |  L11520  |
Ar II     |     686.12689   |   112 | 2.4e+06   | C    |    18.06063878    -     19.86715583   | 3s2.3p4.(3P).3d       | 2P      | 3/2 | 3s2.3p4.(3P).4p       | 2P*     | 3/2 |    |        T1600n |  L11520  |
Ar II     |     686.35347   |    35 | 2.5e+06   | B    |    17.74308993    -     19.54901058   | 3s2.3p4.(3P).3d       | 4F      | 5/2 | 3s2.3p4.(3P).4p       | 4D*     | 5/2 |    |          T926 |  L11520  |
Ar I      |     687.1289    |   150 | 2.78e+06  | C    |    12.90701451    -     14.71089721   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* | 1   |    |        T1218n |   L2634  |
Ar I      |     687.9582    |     5 | 1.8e+05   | D+   |    13.15314307    -     14.95485113   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 2   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar II     |     688.66118   |    26 | 9.e+05    | B    |    17.69466373    -     19.49453270   | 3s2.3p4.(3P).3d       | 4F      | 7/2 | 3s2.3p4.(3P).4p       | 4D*     | 7/2 |    |          T926 |  L11520  |
