-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |   Rel. |    Aki    | Acc. |              Ei           Ek              |              Lower level              |              Upper level              |Type|        TP  |   Line  |
          |        Wavelength |   Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------------|---------------------------------------|    |       Ref. |   Ref.  |
          |         Air (nm)  |   (?)  |           |      |                                           | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |            |         |
Ne I      |        812.89110  |   1200 | 7.2e+05   | C    |    18.61270414      -     20.13751003     | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   |    |      T8043 |  L9097  |
Ne I      |        825.93795  |   3300 | 2.03e+06  | C    |    18.63679043      -     20.13751003     | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   |    |      T8043 |  L3451  |
Ne I      |        837.76070  |  76000 | 5.1e+07   | C    |    18.55510691      -     20.03464771     | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3   | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]* | 4   |    |      T682n |  L7292  |
Ne I      |        849.53591  |  69000 | 3.57e+07  | C    |    18.57583488      -     20.03486825     | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]* | 3   |    |      T682n |  L3451  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        857.13535  |   2900 | 5.5e+06   | D    |    18.69335829      -     20.13945611     | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 1   |    |      T8043 |  L3451  |
Ne I      |        858.29031  |   1600 | 1.00e+06  | C    |    18.69335829      -     20.13751003     | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   |    |      T8043 |  L9097  |
Ne I      |        864.70412  |   6000 | 3.91e+06  | C    |    18.70407004      -     20.13751003     | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   |    |      T8043 |  L9097  |
Ne I      |        865.43828  |  64000 | 4.45e+07  | C    |    18.70407004      -     20.13629396     | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2   | 2s2.2p5.(2P*<1/2>).3d | 2[5/2]* | 3   |    |      T682n |  L9097  |
Ne I      |        868.19216  |  15000 | 2.1e+07   | D    |    18.61270414      -     20.04038524     | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 1   |    |      T8043 |  L3451  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        876.7536   |    160 | 1.1e+05   | D    |    18.61270414      -     20.02644401     | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]* | 1   |    |      T8043 |  L9097  |
Ne I      |        877.16575  |  10000 | 1.6e+07   | D    |    18.72638031      -     20.13945611     | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 1   |    |      T8043 |  L9097  |
Ne I      |        878.37539  |  43000 | 3.13e+07  | C    |    18.72638031      -     20.13751003     | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   |    |      T8043 |  L3451  |
Ne I      |        886.53057  |   2100 | 9.4e+05   | D    |    18.38162211      -     19.77977073     | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]* | 1   |    |      T8043 |  L3451  |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
